InvoiceNo,CustomerID,Date,ProductCategory,Quantity,UnitPrice,DiscountApplied,ReviewRating,IsFirstPurchase,MarketingChannel,Country,TimeOnSite,ShippingCost,ItemsInCart,PreviousSpending,BrowsingSessions,TotalAmount,,,,,,
INV103007,CUST1865,1/3/2023,Toys,4,17.45,0,4,0,Social,USA,129.8,3.55,5,259.96,6,73.35,,5,,69.8,0,73.35
INV101288,CUST1054,1/3/2023,Home,24,243.96,50,4,1,Email,USA,366.1,5.61,8,0,3,2933.13,,2935.52,,5855.04,2927.52,2933.13
INV100878,CUST1918,1/3/2023,Beauty,4,17.52,0,4,0,Ads,UK,96.6,2.4,5,152.75,2,72.48,,5,,70.08,0,72.48
INV107471,CUST1202,1/3/2023,Beauty,5,24.3,0,4,0,Organic,Germany,167.2,4.51,6,294.45,2,126.01,,6,,121.5,0,126.01
INV103925,CUST1687,1/3/2023,Beauty,6,25.07,0,2,0,Ads,Australia,243.5,5.52,6,282.74,4,155.94,,6,,150.42,0,155.94
INV101273,CUST1988,1/3/2023,Electronics,8,114.63,16.5,4,0,Ads,USA,278.5,9.68,8,325.77,3,775.41,,159.3116,,917.04,151.3116,775.41
INV103794,CUST1986,1/3/2023,Clothing,6,32.68,14.1,,1,Email,France,163.1,13.8,6,0,4,182.23,,33.64728,,196.08,27.64728,182.23
INV108480,CUST1898,1/3/2023,Clothing,8,34.09,19.1,4,0,nan,USA,352.3,5.76,13,281.95,2,226.39,,65.08952,,272.72,52.08952,226.39
INV108873,CUST1479,1/3/2023,Sports,9,46.27,8,4,0,Organic,UK,338.8,10.93,11,254.43,5,394.05,,44.3144,,416.43,33.3144,394.05
INV104096,CUST1910,1/3/2023,Home,8,54.33,29.4,5,0,Social,Germany,337.8,8.76,8,153.7,3,315.62,,135.78416,,434.64,127.78416,315.62
INV101746,CUST1203,1/3/2023,Clothing,10,29.33,11,4,0,Social,UK,203,6.74,12,586.03,2,267.78,,44.263,,293.3,32.263,267.78
INV107257,CUST1040,1/3/2023,Sports,12,44.49,36,4,0,Organic,USA,400.6,11.13,14,424.81,2,352.81,,206.1968,,533.88,192.1968,352.81
INV102858,CUST1671,1/3/2023,Electronics,12,193.35,32.1,,0,Email,France,,11.61,13,312.14,3,1587.03,,757.7842,,2320.2,744.7842,1587.03
INV102349,CUST1603,1/3/2023,Toys,10,48.61,48.7,4,1,Organic,France,474.1,5.05,11,0,6,254.42,,247.7307,,486.1,236.7307,254.42
INV108952,CUST1865,1/3/2023,Home,14,56.08,0,,0,Organic,USA,549.8,13.27,14,464.1,2,798.39,,14,,785.12,0,798.39
INV104317,CUST1075,1/4/2023,Clothing,7,24.4,0,,0,Organic,Germany,224.4,12.81,10,377.42,2,183.61,,10,,170.8,0,183.61
INV101970,CUST1093,1/4/2023,Electronics,6,87.55,10,3,0,Email,UK,198.6,11.7,6,281.31,3,484.47,,58.53,,525.3,52.53,484.47
INV102131,CUST1087,1/4/2023,Sports,11,41.31,0,4,0,Organic,UK,348.3,9.35,12,447.6,7,463.76,,12,,454.41,0,463.76
INV100128,CUST1794,1/4/2023,Electronics,9,104.55,52.3,3,0,nan,UK,334.4,2.63,10,278.36,1,451.46,,502.11685,,940.95,492.11685,451.46
INV102467,CUST1105,1/4/2023,Electronics,30,328.2,0,3,1,Organic,Germany,336.8,6.85,7,0,2,9852.85,,7,,9846,0,9852.85
INV109461,CUST1687,1/4/2023,Electronics,10,92.76,0,5,0,Referral,Australia,390.2,8.4,14,333.95,3,936,,14,,927.6,0,936.00
INV103663,CUST1063,1/4/2023,Electronics,1,73.5,21.4,3,0,Organic,USA,30,5.72,1,165.62,2,63.49,,16.729,,73.5,15.729,63.49
INV107066,CUST1867,1/4/2023,Clothing,7,41.75,29.8,3,1,nan,USA,386.5,13.19,8,0,4,218.35,,95.0905,,292.25,87.0905,218.35
INV107512,CUST1757,1/5/2023,Home,10,51.59,0,5,0,Ads,Germany,431.8,15.03,12,311.73,5,530.93,,12,,515.9,0,530.93
INV100377,CUST1945,1/5/2023,Clothing,10,40.23,23,4,0,Referral,Germany,369.6,10.74,11,464.58,4,320.51,,103.529,,402.3,92.529,320.51
INV104135,CUST1016,1/5/2023,Beauty,7,34.2,47.6,4,0,Referral,Germany,287.7,18.6,8,143.54,4,144.05,,121.9544,,239.4,113.9544,144.05
INV104129,CUST1956,1/5/2023,Toys,9,32.17,44.7,5,1,Referral,USA,465,12.84,9,0,1,172.95,,138.41991,,289.53,129.41991,172.95
INV102283,CUST1308,1/5/2023,Home,6,57.36,18.9,5,1,Email,USA,334.9,12.99,9,0,1,292.1,,74.04624,,344.16,65.04624,292.10
INV109250,CUST1676,1/5/2023,Electronics,6,119.77,18.1,2,0,Email,Australia,184.8,11.03,7,253.43,4,599.58,,137.07022,,718.62,130.07022,599.58
INV102212,CUST1006,1/5/2023,Home,9,72.24,30.5,,0,Email,France,309.1,15.79,9,268.84,5,467.65,,207.2988,,650.16,198.2988,467.65
INV101339,CUST1418,1/5/2023,Clothing,6,38.69,38,3,1,Social,USA,405.8,6.25,7,0,2,150.18,,95.2132,,232.14,88.2132,150.18
INV107000,CUST1407,1/5/2023,Clothing,5,30.27,0,4,1,Email,Germany,208.5,11.15,5,0,2,162.5,,5,,151.35,0,162.50
INV101019,CUST1229,1/5/2023,Home,10,55.44,23.8,4,0,Organic,Australia,336.5,4.38,10,454.14,4,426.83,,141.9472,,554.4,131.9472,426.83
INV105235,CUST1894,1/5/2023,Electronics,4,150.09,39.1,3,1,Email,UK,238.1,7.55,5,0,2,373.17,,239.74076,,600.36,234.74076,373.17
INV101194,CUST1414,1/5/2023,Sports,5,59.34,47,4,0,Referral,USA,143.9,0.88,5,305.82,4,158.13,,144.449,,296.7,139.449,158.13
INV104326,CUST1757,1/5/2023,Clothing,10,58.07,52.8,3,0,Social,USA,414.6,0,12,272.52,4,274.09,,318.6096,,580.7,306.6096,274.09
INV100171,CUST1505,1/5/2023,Home,7,59.76,33.5,4,1,Referral,UK,318,14.78,8,0,1,292.96,,148.1372,,418.32,140.1372,292.96
INV107309,CUST1855,1/5/2023,Electronics,6,60.81,0,3,0,Email,USA,193.5,5.26,6,269.2,2,370.12,,6,,364.86,0,370.12
INV105301,CUST1229,1/5/2023,Beauty,8,20.74,0,2,0,Referral,UK,307.6,14.9,10,314.73,1,180.82,,10,,165.92,0,180.82
INV101576,CUST1551,1/5/2023,Clothing,11,39.58,0,4,0,Referral,UK,476.6,21.31,12,277.97,3,456.69,,12,,435.38,0,456.69
INV100856,CUST1136,1/5/2023,Beauty,7,33.1,51.3,1,1,Ads,UK,299,8.93,7,0,5,121.77,,125.8621,,231.7,118.8621,121.77
INV107545,CUST1751,1/5/2023,Home,9,45.99,18.7,3,0,Email,USA,298.7,10.23,9,420.71,4,346.74,,86.40117,,413.91,77.40117,346.74
INV107904,CUST1406,1/5/2023,Beauty,7,36.14,21,3,0,Organic,Australia,314.4,2.18,7,303.24,3,202.03,,60.1258,,252.98,53.1258,202.03
INV107304,CUST1792,1/5/2023,Sports,5,41.72,39.8,3,1,Organic,UK,272.9,4.67,5,0,3,130.25,,88.0228,,208.6,83.0228,130.25
INV105293,CUST1036,1/6/2023,Home,8,39.3,0,4,1,Ads,USA,262.4,4.81,8,0,2,319.21,,8,,314.4,0,319.21
INV108252,CUST1373,1/6/2023,Home,9,51.54,12.9,1,0,Organic,USA,465.4,13.77,12,241.79,3,417.79,,71.83794,,463.86,59.83794,417.79
INV102516,CUST1153,1/6/2023,Electronics,9,112.5,25.6,5,0,Email,USA,322.4,7.1,9,350.56,1,760.4,,268.2,,1012.5,259.2,760.40
INV105299,CUST1671,1/6/2023,Home,8,63.93,23.1,3,0,Social,USA,199.8,14.85,10,394.13,5,408.15,,128.14264,,511.44,118.14264,408.15
INV102080,CUST1599,1/6/2023,Electronics,10,93.01,12.4,4,0,Referral,USA,517.3,9,10,163.6,4,823.77,,125.3324,,930.1,115.3324,823.77
INV109214,CUST1208,1/6/2023,Electronics,8,83.33,0,3,0,Email,USA,,12.66,9,282.7,6,679.3,,9,,666.64,0,679.30
INV100098,CUST1166,1/6/2023,Electronics,9,152.99,49.1,,0,Email,USA,455.3,12.86,9,241.45,2,713.71,,685.06281,,1376.91,676.06281,713.71
INV107722,CUST1249,1/6/2023,Sports,10,51.13,0,3,0,Referral,Australia,404.3,16.51,10,303.2,4,527.81,,10,,511.3,0,527.81
INV106553,CUST1751,1/6/2023,Beauty,8,21.73,0,3,0,Organic,USA,225.8,7,8,322.73,5,180.84,,8,,173.84,0,180.84
INV109045,CUST1097,1/6/2023,Home,5,47.61,0,5,0,Social,Canada,,5.15,5,147.07,3,243.2,,5,,238.05,0,243.20
INV104900,CUST1898,1/6/2023,Electronics,7,160.9,33.3,4,1,Referral,USA,410.7,11.15,8,0,3,762.39,,383.0579,,1126.3,375.0579,762.39
INV106953,CUST1468,1/6/2023,Beauty,2,20.37,0,4,1,Email,USA,181.9,10.85,4,0,5,51.59,,4,,40.74,0,51.59
INV102911,CUST1744,1/6/2023,Sports,6,40.29,44,4,0,Social,USA,237.3,14.35,6,147.28,5,149.72,,112.3656,,241.74,106.3656,149.72
INV105976,CUST1683,1/6/2023,Home,7,50.55,18.8,,0,Social,France,118.5,8.19,8,388.59,3,295.52,,74.5238,,353.85,66.5238,295.52
INV105547,CUST1339,1/6/2023,Clothing,2,20.29,0,,1,Social,Germany,60.3,10.5,5,0,3,51.08,,5,,40.58,0,51.08
INV105474,CUST1846,1/6/2023,Electronics,7,140.11,35.3,4,0,Email,Germany,178.8,9.24,7,392.21,4,643.8,,353.21181,,980.77,346.21181,643.80
INV104924,CUST1407,1/6/2023,Clothing,8,33.29,6.6,5,0,Ads,Germany,450.6,16.34,10,194.89,3,265.08,,27.57712,,266.32,17.57712,265.08
INV101502,CUST1496,1/7/2023,Home,8,44.06,0,3,0,Referral,France,261.6,16.53,8,404.9,3,369.01,,8,,352.48,0,369.01
INV103423,CUST1979,1/7/2023,Sports,6,62.44,45.7,3,1,Ads,USA,251.7,16.5,6,0,5,219.93,,177.21048,,374.64,171.21048,219.93
INV104978,CUST1369,1/7/2023,Clothing,3,30.85,0,4,1,Organic,USA,310.7,7.28,4,0,4,99.83,,4,,92.55,0,99.83
INV105580,CUST1662,1/7/2023,Home,8,56.73,14.4,3,1,Referral,USA,427.7,10.81,8,0,3,399.3,,73.35296,,453.84,65.35296,399.30
INV101483,CUST1192,1/7/2023,Clothing,5,45.57,47.5,,1,Organic,France,311.8,3.52,6,0,3,123.14,,114.22875,,227.85,108.22875,123.14
INV100168,CUST1224,1/7/2023,Home,9,35.04,0,4,0,Social,UK,304.1,13.18,11,258.48,4,328.54,,11,,315.36,0,328.54
INV102817,CUST1797,1/7/2023,Electronics,9,93.13,0,5,0,Referral,UK,501.4,18.1,10,137.95,3,856.27,,10,,838.17,0,856.27
INV105985,CUST1774,1/7/2023,Beauty,12,27.33,0,4,0,Social,UK,400.1,9.44,14,387.46,3,337.4,,14,,327.96,0,337.40
INV101465,CUST1090,1/7/2023,Electronics,9,136.24,43.2,4,0,Referral,USA,,9.33,10,285.15,1,705.79,,539.70112,,1226.16,529.70112,705.79
INV104551,CUST1531,1/7/2023,Clothing,7,33.68,0,2,0,Organic,USA,278.8,14.04,7,223.03,5,249.8,,7,,235.76,0,249.80
INV108212,CUST1794,1/7/2023,Sports,13,31.05,0,4,0,Ads,USA,478.9,16.33,15,479.34,2,419.98,,15,,403.65,0,419.98
INV102224,CUST1031,1/7/2023,Home,2,39.86,0,4,1,Organic,USA,,16.15,5,0,4,95.87,,5,,79.72,0,95.87
INV102010,CUST1178,1/7/2023,Electronics,3,67.28,0,,1,Organic,USA,160,15.5,5,0,3,217.34,,5,,201.84,0,217.34
INV101548,CUST1764,1/7/2023,Clothing,7,29.39,22.3,5,0,Ads,UK,224.4,3.4,7,384.95,2,163.25,,52.87779,,205.73,45.87779,163.25
INV100290,CUST1730,1/7/2023,Clothing,5,21.52,0,4,0,Email,UK,196.2,13.71,7,153.62,3,121.31,,7,,107.6,0,121.31
INV100237,CUST1552,1/7/2023,Electronics,6,200.47,49.2,,1,Organic,USA,357.2,14.77,6,0,3,625.8,,597.78744,,1202.82,591.78744,625.80
INV109399,CUST1453,1/7/2023,Clothing,9,29.62,0,4,0,Organic,UK,200.4,9.52,9,413.77,2,276.1,,9,,266.58,0,276.10
INV103654,CUST1596,1/7/2023,Electronics,8,89.05,23.8,4,0,Email,USA,368.5,12.96,8,201.21,3,555.81,,177.5512,,712.4,169.5512,555.81
INV105983,CUST1423,1/7/2023,Home,6,41.76,0,5,0,Organic,Australia,244.8,9.7,9,245.68,3,260.26,,9,,250.56,0,260.26
INV107635,CUST1397,1/8/2023,Toys,7,28.99,5.7,,1,Organic,UK,369.6,2.04,8,0,6,193.4,,19.56701,,202.93,11.56701,193.40
INV101402,CUST1040,1/8/2023,Beauty,1,26.34,47.2,4,1,Social,USA,30,6.58,2,0,2,20.49,,14.43248,,26.34,12.43248,20.49
INV105172,CUST1317,1/8/2023,Electronics,7,118.87,24,4,1,Email,USA,337.4,2.64,9,0,3,635.03,,208.7016,,832.09,199.7016,635.03
INV107783,CUST1610,1/8/2023,Beauty,7,16.8,0,5,0,Email,Germany,248.4,10.78,8,225.29,1,128.38,,8,,117.6,0,128.38
INV100407,CUST1002,1/8/2023,Electronics,12,97.77,0,4,0,Organic,USA,439.6,9.57,15,510.03,2,1182.81,,15,,1173.24,0,1182.81
INV100010,CUST1692,1/8/2023,Clothing,2,26.55,0,1,0,Social,USA,213.6,8.45,2,49.59,3,61.55,,2,,53.1,0,61.55
INV106441,CUST1205,1/8/2023,Clothing,6,38.55,51.3,5,0,Referral,USA,194.1,8.84,8,223.49,5,121.48,,126.6569,,231.3,118.6569,121.48
INV107100,CUST1630,1/8/2023,Clothing,7,36.93,54.8,3,0,Organic,USA,353.8,13.67,9,318.97,4,130.52,,150.66348,,258.51,141.66348,130.52
INV108844,CUST1101,1/8/2023,Clothing,9,27.91,0,4,0,nan,UK,,9.71,9,379.49,1,260.9,,9,,251.19,0,260.90
INV102708,CUST1939,1/8/2023,Clothing,8,34.64,33.5,4,1,Organic,France,424.8,13.89,8,0,3,198.17,,100.8352,,277.12,92.8352,198.17
INV104888,CUST1077,1/8/2023,Clothing,7,26.73,0,4,1,Social,France,303.4,14.88,8,0,2,201.99,,8,,187.11,0,201.99
INV106613,CUST1632,1/9/2023,Toys,10,15.19,12.9,4,0,Social,Germany,318.4,19.54,12,303.95,3,151.84,,31.5951,,151.9,19.5951,151.84
INV109278,CUST1203,1/9/2023,Beauty,3,34.7,53.5,2,1,Email,UK,95.7,15.73,4,0,2,64.14,,59.6935,,104.1,55.6935,64.14
INV108849,CUST1397,1/9/2023,Clothing,8,31.92,0,1,0,Ads,France,364.4,12.93,9,207.57,3,268.29,,9,,255.36,0,268.29
INV101047,CUST1377,1/9/2023,Sports,6,34.14,0,,1,Email,USA,266.5,16.61,6,0,5,221.45,,6,,204.84,0,221.45
INV101202,CUST1566,1/9/2023,Electronics,8,70.83,0,4,0,Email,USA,341.2,12.43,9,302.3,5,579.07,,9,,566.64,0,579.07
INV100072,CUST1849,1/9/2023,Electronics,11,70.27,0,3,0,Referral,USA,374.6,17.16,12,333.02,3,790.13,,12,,772.97,0,790.13
INV108531,CUST1382,1/9/2023,Home,4,28.69,0,2,0,Email,Germany,30,11.12,6,255.12,3,125.88,,6,,114.76,0,125.88
INV107809,CUST1898,1/9/2023,Clothing,7,30.44,9.8,,0,Email,USA,256.7,9.7,8,212.8,2,201.9,,28.88184,,213.08,20.88184,201.90
INV102719,CUST1005,1/9/2023,Clothing,11,42.97,43.2,3,0,Organic,USA,323.8,6.29,12,359.32,4,274.77,,216.19344,,472.67,204.19344,274.77
INV101049,CUST1620,1/9/2023,Electronics,3,105.36,30.1,3,1,Ads,USA,192.7,6.1,5,0,3,227.04,,100.14008,,316.08,95.14008,227.04
INV104546,CUST1100,1/9/2023,Electronics,9,82.7,0,5,0,Email,Australia,290.9,14.58,9,302.24,3,758.88,,9,,744.3,0,758.88
INV103223,CUST1738,1/9/2023,Sports,9,82.7,51.2,4,1,Referral,USA,442.5,4.7,10,0,4,367.92,,391.0816,,744.3,381.0816,367.92
INV108406,CUST1677,1/9/2023,Clothing,8,42.48,34,2,1,Email,UK,398.1,16.38,9,0,2,240.67,,124.5456,,339.84,115.5456,240.67
INV108103,CUST1693,1/9/2023,Clothing,4,27.9,10.6,3,1,Email,UK,239.1,9.98,4,0,3,109.75,,15.8296,,111.6,11.8296,109.75
INV108680,CUST1203,1/9/2023,Sports,7,42.29,36.9,4,0,Email,France,136,6.63,8,341.32,5,193.42,,117.23507,,296.03,109.23507,193.42
INV109018,CUST1596,1/9/2023,Electronics,8,92.4,16.4,5,0,Social,USA,271.1,11.47,8,255.83,3,629.44,,129.2288,,739.2,121.2288,629.44
INV106184,CUST1029,1/9/2023,Beauty,5,24.98,0,5,1,Ads,Germany,379.6,12.37,5,0,4,137.27,,5,,124.9,0,137.27
INV108009,CUST1036,1/9/2023,Sports,9,50.03,35.8,4,1,Email,USA,487.6,12.5,11,0,3,301.57,,172.19666,,450.27,161.19666,301.57
INV108591,CUST1190,1/10/2023,Home,7,51.73,0,,1,Referral,USA,339.8,18.92,7,0,6,381.03,,7,,362.11,0,381.03
INV102606,CUST1373,1/10/2023,Beauty,3,45.51,46.7,3,1,Organic,Germany,245.4,14.02,4,0,5,86.79,,67.75951,,136.53,63.75951,86.79
INV103503,CUST1278,1/10/2023,Clothing,7,18.75,0,4,1,Email,UK,332,11.3,7,0,4,142.55,,7,,131.25,0,142.55
INV101264,CUST1893,1/10/2023,Beauty,27,56.66,51.1,4,0,Ads,France,352.7,15.67,12,426.12,4,763.75,,793.73802,,1529.82,781.73802,763.75
INV102644,CUST1836,1/10/2023,Clothing,8,54.63,49.5,4,0,Referral,Germany,244,14.46,10,301.36,3,235.17,,226.3348,,437.04,216.3348,235.17
INV106949,CUST1126,1/10/2023,Clothing,10,35.47,36.6,4,0,Email,USA,262.3,12.84,11,503.87,2,237.72,,140.8202,,354.7,129.8202,237.72
INV106497,CUST1775,1/10/2023,Home,7,88,54,4,0,Referral,USA,294.7,10.08,7,164.89,2,293.44,,339.64,,616,332.64,293.44
INV104676,CUST1116,1/10/2023,Clothing,9,25.87,0,3,0,Ads,UK,272.2,12.21,9,380.4,1,245.04,,9,,232.83,0,245.04
INV106571,CUST1049,1/10/2023,Home,7,55.39,47.5,4,1,Email,USA,329.5,5.64,9,0,2,209.2,,193.17175,,387.73,184.17175,209.20
INV106897,CUST1099,1/10/2023,Toys,7,28.64,23.5,4,0,Referral,Germany,330.5,10.08,11,166.72,4,163.45,,58.1128,,200.48,47.1128,163.45
INV107097,CUST1833,1/10/2023,Home,4,36.98,0,2,0,Organic,USA,225.5,5.49,4,112.77,3,153.41,,4,,147.92,0,153.41
INV102360,CUST1797,1/10/2023,Sports,10,57.73,44.1,4,0,Ads,USA,327.5,13.34,11,357.53,1,336.05,,265.5893,,577.3,254.5893,336.05
INV101072,CUST1732,1/11/2023,Clothing,6,30.33,17.5,1,1,Email,Australia,384.5,12.68,7,0,6,162.81,,38.8465,,181.98,31.8465,162.81
INV101300,CUST1426,1/11/2023,Clothing,1,20.26,0,4,1,Email,USA,41.4,0,2,0,2,20.26,,2,,20.26,0,20.26
INV108662,CUST1697,1/11/2023,Beauty,30,61.71,0,5,1,Email,UK,400.1,0,6,0,1,1851.3,,6,,1851.3,0,1851.30
INV101752,CUST1390,1/11/2023,Sports,10,47.49,14.1,,1,Organic,Germany,486.1,0.53,12,0,4,408.47,,78.9609,,474.9,66.9609,408.47
INV104341,CUST1089,1/11/2023,Clothing,8,42.06,17.7,3,0,Ads,Canada,345.1,7.44,9,216.76,2,284.36,,68.55696,,336.48,59.55696,284.36
INV100599,CUST1815,1/11/2023,Electronics,7,89.91,28.3,1,0,Email,Germany,317.5,9.43,7,105.59,5,460.69,,185.11171,,629.37,178.11171,460.69
INV100371,CUST1432,1/11/2023,Clothing,8,46.16,47.6,1,0,Ads,USA,350.4,3.25,9,173.26,2,196.75,,184.77728,,369.28,175.77728,196.75
INV100332,CUST1957,1/11/2023,Electronics,4,90.83,0,,1,Ads,USA,184.8,8.71,4,0,2,372.03,,4,,363.32,0,372.03
INV108894,CUST1072,1/11/2023,Electronics,9,87.42,0,4,1,Organic,USA,507.5,13.13,9,0,5,799.91,,9,,786.78,0,799.91
INV109187,CUST1087,1/11/2023,Electronics,9,133.45,54.1,5,0,Social,Canada,399.4,13.76,9,164.71,2,565.04,,658.76805,,1201.05,649.76805,565.04
INV100628,CUST1181,1/11/2023,Home,7,28.72,0,4,0,Organic,USA,240.4,12.76,7,190.7,4,213.8,,7,,201.04,0,213.80
INV103382,CUST1389,1/11/2023,Home,8,46.82,17.3,3,1,Organic,USA,427.4,12.02,9,0,1,321.78,,73.79888,,374.56,64.79888,321.78
INV104776,CUST1115,1/11/2023,Electronics,9,131.5,38.4,4,0,Ads,USA,157.2,18.38,10,500.85,4,747.42,,464.464,,1183.5,454.464,747.42
INV103388,CUST1586,1/11/2023,Toys,8,32.61,43.1,5,0,Social,USA,322,5.71,12,323.68,2,154.15,,124.43928,,260.88,112.43928,154.15
INV106375,CUST1174,1/11/2023,Sports,6,30.33,0,4,0,Email,USA,186,14.7,7,96.26,1,196.68,,7,,181.98,0,196.68
INV102685,CUST1424,1/11/2023,Home,2,33.98,0,,1,Organic,France,203.8,11.38,2,0,3,79.34,,2,,67.96,0,79.34
INV100486,CUST1307,1/11/2023,Clothing,6,40.94,39,5,0,Social,USA,165.8,13.95,10,335.29,4,163.79,,105.7996,,245.64,95.7996,163.79
INV101030,CUST1204,1/11/2023,Home,8,51.22,0,3,1,Social,USA,480.1,3.35,9,0,5,413.11,,9,,409.76,0,413.11
INV107710,CUST1116,1/12/2023,Beauty,10,22.13,0,4,0,Referral,Canada,331.2,9.67,11,362.03,3,230.97,,11,,221.3,0,230.97
INV102604,CUST1044,1/12/2023,Clothing,8,25.18,0,4,0,Referral,France,339.7,0,10,137.88,1,201.44,,10,,201.44,0,201.44
INV101780,CUST1794,1/12/2023,Clothing,7,43.51,0,5,1,Email,Canada,422.2,4.13,9,0,4,308.7,,9,,304.57,0,308.70
INV100901,CUST1240,1/12/2023,Clothing,4,32.81,23.4,4,1,Referral,Australia,170.7,13.51,6,0,5,114.04,,36.71016,,131.24,30.71016,114.04
INV107391,CUST1225,1/12/2023,Clothing,15,118.12,8.2,4,1,Email,USA,,2.07,5,0,4,1628.58,,150.2876,,1771.8,145.2876,1628.58
INV103962,CUST1338,1/12/2023,Clothing,3,25.55,0,3,1,Email,UK,240.7,7.49,3,0,5,84.14,,3,,76.65,0,84.14
INV105525,CUST1960,1/12/2023,Sports,10,42.08,6.2,,0,nan,Canada,420.1,9.87,11,271.24,4,404.58,,37.0896,,420.8,26.0896,404.58
INV107965,CUST1269,1/12/2023,Home,7,49.27,34.3,,1,Ads,USA,380.6,8.76,7,0,4,235.35,,125.29727,,344.89,118.29727,235.35
INV100610,CUST1362,1/12/2023,Clothing,10,34.87,0,3,0,Referral,USA,499.5,19.88,12,206.99,1,368.58,,12,,348.7,0,368.58
INV107569,CUST1915,1/12/2023,Sports,9,53.22,28.5,2,1,Organic,USA,519.2,23.85,10,0,2,366.32,,146.5093,,478.98,136.5093,366.32
